Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Op/s;Scaled;ScaledSD;Rank;Size;Gen 0;Allocated
Json;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;182.0293 us;3.0965 us;3.4418 us;181.5289 us;5493.62;2.12;0.06;5;"38,1kb";8.8867;0.05 MB
GzJson;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;947.3251 us;32.5245 us;37.4553 us;940.7056 us;1055.6;11.02;0.48;6;"20,57kb";-;0.04 MB
Protobuf;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;86.0321 us;1.6151 us;1.8600 us;85.6251 us;11623.57;1.00;0.00;3;"37,11kb";8.1787;0.04 MB
BondCompact;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;79.5894 us;2.9335 us;3.3782 us;79.6145 us;12564.49;0.93;0.04;2;"36,14kb";7.9590;0.04 MB
BondFast;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;76.5489 us;1.5015 us;1.6689 us;76.1026 us;13063.55;0.89;0.03;1;"36,14kb";7.9590;0.04 MB
BondSimple;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;75.9375 us;1.2548 us;1.3947 us;75.8567 us;13168.73;0.88;0.02;1;"39,07kb";8.6670;0.04 MB
BondJson;Default;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;False;False;Default;Default;Default;1;Default;1;Default;20;16;3;117.4700 us;2.5068 us;2.8869 us;117.1784 us;8512.81;1.37;0.04;4;"38,1kb";9.7900;0.04 MB
